genre,publisher,critic_score
Action,Sony Interactive Entertainment,9.433333333333332
Action,Merge Games,9.3
Action,Valve,9.3
Action,Oddworld Inhabitants,9.0
Action,Villa Gorilla,9.0
Action,Rockstar Games,8.711111111111112
Action,Devolver Digital,8.7
Action,Bandai Namco Entertainment,8.65
Action,Microsoft Studios,8.65
Action,Konami Digital Entertainment,8.55
Action,Bandai Namco Games,8.5
Action,GT Interactive,8.5
Action,Halfbrick Studios,8.5
Action,Horberg Productions,8.350000000000001
Action,Edmund McMillen,8.3
Action,Gameloft,8.25
Action,Tecmo,8.2
Action,Nicalis,8.1
Action,Blizzard Entertainment,8.05
Action,Xseed Games,8.05
Action,2K Sports,8.0
Action,Grasshopper Manufacture Inc.,8.0
Action,Maxistentialism,8.0
Action,THQ Nordic,8.0
Action,Hasbro Interactive,7.95
Action,Square Enix,7.93076923076923
Action,Bethesda Softworks,7.9
Action,Inti Creates,7.9
Action,Sarbakan,7.8
Action,Twisted Pixel Games,7.8
Action,Capcom,7.667777777777778
Action,Sony Computer Entertainment,7.6571428571428575
Action,Koei Tecmo,7.575
Action,Adult Swim,7.5
Action,All Yes Good,7.5
Action,Level 5,7.5
Action,Thomas Happ Games,7.5
Action,Eidos Interactive,7.4625
Action,Conspiracy Entertainment,7.4
Action,Warner Bros. Interactive,7.3125
Action,Microsoft Game Studios,7.300000000000001
Action,Sony Online Entertainment,7.25
Action,Warner Bros. Interactive Entertainment,7.25
Action,Konami,7.214285714285714
Action,Beatnik Games,7.2
Action,Virgin Interactive,7.2
Action,Gathering of Developers,7.133333333333333
Action,Ubisoft,7.129411764705883
Action,Red Orb,7.1
Action,Interplay,7.033333333333334
Action,Agetec,7.0
Action,CyberSoft,7.0
Action,The Behemoth,7.0
Action,Vivendi Games,6.95
Action,LucasArts,6.949999999999999
Action,Disney Interactive Studios,6.904545454545455
Action,Microsoft,6.890909090909091
Action,Nintendo,6.843243243243243
Action,Gastronaut Studios,6.7
Action,Ignition Entertainment,6.7
Action,Namco,6.666666666666667
Action,Midway Games,6.6461538461538465
Action,2K Games,6.640000000000001
Action,3DO,6.633333333333333
Action,Ocean,6.6
Action,Psygnosis,6.6
Action,VU Games,6.6
Action,Xicat Interactive,6.550000000000001
Action,XS Games,6.5
Action,THQ,6.4363636363636365
Action,ASC Games,6.4
Action,TalonSoft,6.4
Action,Electronic Arts,6.328070175438596
Action,D3 Publisher,6.3
Action,Acclaim Entertainment,6.266666666666667
Action,Activision,6.264367816091954
Action,Buena Vista,6.25
Action,Sierra Entertainment,6.25
Action,Universal Interactive,6.25
Action,Tecmo Koei,6.235714285714286
Action,Jaleco,6.2
Action,Atlus,6.1375
Action,Sega,6.12
Action,Atari,6.115
Action,Deep Silver,6.1000000000000005
Action,King Games,6.1000000000000005
Action,Namco Bandai,6.1000000000000005
Action,TDK Core,6.1
Action,Gamelion Studios,6.0
Action,Knowledge Adventure,6.0
Action,KOEI,5.946666666666667
Action,Namco Bandai Games,5.9399999999999995
Action,BAM! Entertainment,5.825
Action,Majesco,5.822222222222222
Action,SouthPeak Interactive,5.783333333333334
Action,Take-Two Interactive,5.666666666666667
Action,Bandai,5.6
Action,Red Mile Entertainment,5.6
Action,Dark Energy Digital,5.5
Action,Infogrames,5.425
Action,Victory Lap Games,5.4
Action,"Destination Software, Inc",5.35
Action,Encore,5.3
Action,Rare,5.3
Action,Aksys Games,5.266666666666667
Action,Codemasters,5.25
Action,Vogster Entertainment,5.2
Action,NEC,5.1
Action,Nokia,4.949999999999999
Action,Sierra Online,4.9
Action,Playlogic Game Factory,4.85
Action,Crave Entertainment,4.816666666666666
Action,GameTrust,4.8
Action,Kemco,4.766666666666667
Action,TDK Mediactive,4.525
Action,505 Games,4.45
Action,Headup Games,4.2
Action,Hip Interactive,4.133333333333334
Action,D3Publisher,4.0
Action,Panther Software,4.0
Action,Shoeisha,4.0
Action,AQ Interactive,3.9
Action,989 Studios,3.6500000000000004
Action,NewKidCo,3.5
Action,Mindscape,3.0
Action,GameMill Entertainment,2.5
Action,Titus,1.3
Action-Adventure,Rockstar Games,9.8
Action-Adventure,Bifrost Entertainment,9.5
Action-Adventure,Sony Computer Entertainment America,9.5
Action-Adventure,Konami,9.275
Action-Adventure,Skydance Interactive,8.5
Action-Adventure,Sony Interactive Entertainment,8.483333333333333
Action-Adventure,Nintendo,8.366666666666667
Action-Adventure,Sony Computer Entertainment,8.34
Action-Adventure,Ubisoft,8.23157894736842
Action-Adventure,THQ,8.225
Action-Adventure,505 Games,8.05
Action-Adventure,FDG Entertainment,8.0
Action-Adventure,Konami Digital Entertainment,7.957142857142857
Action-Adventure,Disney Interactive Studios,7.8
Action-Adventure,Level 5,7.8
Action-Adventure,Square Enix,7.728571428571429
Action-Adventure,Microsoft Game Studios,7.566666666666666
Action-Adventure,Nordic Games,7.5
Action-Adventure,Microsoft Studios,7.275
Action-Adventure,Atlus,7.2
Action-Adventure,Activision,7.0200000000000005
Action-Adventure,NIS America,7.0
Action-Adventure,aeiowu,7.0
Action-Adventure,Warner Bros. Interactive Entertainment,6.95
Action-Adventure,Hello Games,6.8
Action-Adventure,2K Games,6.733333333333333
Action-Adventure,Electronic Arts,6.6
Action-Adventure,Namco Bandai Games,6.6
Action-Adventure,GungHo Online Entertainment,6.5
Action-Adventure,Microids,6.5
Action-Adventure,Outright Games,6.5
Action-Adventure,THQ Nordic,6.5
Action-Adventure,Deep Silver,6.300000000000001
Action-Adventure,Facepunch Studios,6.1
Action-Adventure,Maximum Games,5.0
Action-Adventure,Sega,4.6
Action-Adventure,Studio Wildcard,4.0
Action-Adventure,D3Publisher,2.8
Adventure,The Fullbright Company,9.1
Adventure,Perp Games,9.0
Adventure,Square,9.0
Adventure,Broderbund,8.9
Adventure,Zombie Cow Studios,8.8
Adventure,Funcom,8.7
Adventure,Sam Barlow,8.7
Adventure,The Astronauts,8.7
Adventure,Rockstar Games,8.617647058823529
Adventure,Finji,8.5
Adventure,Majesco,8.4
Adventure,Ysbryd Games,8.4
Adventure,Sierra Online,8.3
Adventure,Take-Two Interactive,8.3
Adventure,Nintendo,8.286440677966102
Adventure,Campo Santo,8.2
Adventure,Amanita Design,8.0
Adventure,Kalypso,8.0
Adventure,Sidebar Games,8.0
Adventure,Sony Interactive Entertainment,8.0
Adventure,Tomorrow Corporation,8.0
Adventure,Twisted Tree,8.0
Adventure,Wadjet Eye Games,8.0
Adventure,Game Arts,7.9
Adventure,Microsoft,7.9
Adventure,Square Enix,7.8999999999999995
Adventure,Capcom,7.877777777777778
Adventure,LucasArts,7.823076923076924
Adventure,Aksys Games,7.800000000000001
Adventure,Acclaim Entertainment,7.8
Adventure,Sony Computer Entertainment,7.736363636363637
