genre,publisher,percentage_of_total_sales
Action,Rockstar Games,14.959149671682749
Action,Ubisoft,10.550699845864628
Action,Activision,8.660982367982607
Action,THQ,5.495416031860582
Action,LucasArts,5.297623820597118
Action,Warner Bros. Interactive Entertainment,4.2890617343347675
Action,Electronic Arts,3.8498204723848213
Action,Eidos Interactive,3.736669072247614
Action,Capcom,3.619953848484039
Action,Disney Interactive Studios,3.112108981726494
Action,Sony Computer Entertainment,3.0194495674409074
Action,Atari,2.5124956565899548
Action,Warner Bros. Interactive,2.486657935298782
Action,Konami,2.132057484475093
Action,Sega,1.9877226276071593
Action,Square Enix,1.6322312208768786
Action,Tecmo Koei,1.399691729256319
Action,KOEI,1.1145858391468204
Action,D3 Publisher,1.0682561320040271
Action,Namco Bandai,1.0335088516469317
Action,Konami Digital Entertainment,0.9435223050811214
Action,Deep Silver,0.8954106861251436
Action,Midway Games,0.8856101711526296
Action,Nintendo,0.7902778891472659
Action,Bethesda Softworks,0.6664350181309526
Action,GT Interactive,0.5791213392849187
Action,Namco Bandai Games,0.5791213392849187
Action,Hasbro Interactive,0.4980443517850301
Action,3DO,0.49715339587843793
Action,Namco,0.4837890572795551
Action,Take-Two Interactive,0.4205311879115102
Action,Buena Vista,0.38400199574123073
Action,2K Games,0.3750924366753089
Action,Majesco,0.3652919217027949
Action,Sierra Entertainment,0.34212706813139815
Action,Bandai,0.326980817719331
Action,Vivendi Games,0.32608986181273886
Action,VU Games,0.29579736098860465
Action,2K Play,0.25303147747217986
Action,Gearbox Software,0.23788522706011278
Action,989 Studios,0.23432140343374402
Action,Xseed Games,0.22095706483486133
Action,Universal Interactive,0.2156113293953082
Action,Mattel Interactive,0.20491985851620198
Action,Ultra Games,0.1986831671700567
Action,505 Games,0.1799730931316209
Action,Microsoft Studios,0.17106353406569907
Action,Microsoft Game Studios,0.15769919546681632
Action,Black Label Games,0.1541353718404476
Action,20th Century Fox Video Games,0.15324441593385543
Action,Parker Bros.,0.14700772458771016
Action,Acclaim Entertainment,0.14166198914815706
Action,Atlus,0.13988007733497268
Action,Ocean,0.13631625370860392
Action,BAM! Entertainment,0.1336433859888274
Action,2K Sports,0.13097051826905085
Action,Tecmo,0.12918860645586647
Action,Virgin Interactive,0.1282976505492743
Action,Hudson Soft,0.12651573873608993
Action,Tigervision,0.12651573873608993
Action,Codemasters,0.11582426785698376
Action,Conspiracy Entertainment,0.11493331195039157
Action,Coleco,0.11226044423061501
Action,TDK Mediactive,0.10335088516469321
Action,Trion Worlds,0.10335088516469318
Action,Ignition Entertainment,0.10245992925810102
Action,Microsoft,0.09265941428558701
Action,Little Orbit,0.08820463475262609
Action,Square,0.08820463475262609
Action,Gathering of Developers,0.08642272293944171
Action,Interplay,0.08553176703284954
Action,SouthPeak Interactive,0.07929507568670426
Action,Psygnosis,0.07751316387351989
Action,Koei Tecmo,0.07662220796692772
Action,Agetec,0.07484029615374335
Action,Mystique,0.07305838434055897
Action,Kemco,0.07127647252737462
Action,Level 5,0.07038551662078243
Action,Banpresto,0.06949456071419025
Action,Men-A-Vision,0.06860360480759807
Action,Gun Media,0.0668216929944137
Action,Spike,0.06325786936804498
Action,Crave Entertainment,0.06325786936804496
Action,Data Age,0.06325786936804496
Action,Blizzard Entertainment,0.060585001648268424
Action,Focus Home Interactive,0.05969404574167625
Action,NIS America,0.05702117802189969
Action,Sony Interactive Entertainment,0.05434831030212314
Action,THQ Nordic,0.05256639848893877
Action,Bandai Namco Games,0.05167544258234659
Action,Red Mile Entertainment,0.050784486675754414
Action,Takara Tomy,0.050784486675754414
Action,Paramount Digital Entertainment,0.04989353076916223
Action,Titus,0.049893530769162225
Action,Aksys Games,0.04900257486257006
Action,CPG Products,0.04811161895597787
Action,Sold Out,0.047220663049385686
Action,Spike Chunsoft,0.047220663049385686
Action,Answer Software,0.04454779532960913
Action,Fox Interactive,0.04365683942301695
Action,Telltale Games,0.04365683942301695
Action,Playlogic Game Factory,0.041874927609832586
Action,Infogrames,0.04009301579664822
Action,Nippon Columbia,0.04009301579664822
Action,Destineer,0.03831110398346386
Action,Nicalis,0.03831110398346386
Action,"Destination Software, Inc",0.037420148076871676
Action,City Interactive,0.036529192170279494
Action,Marvelous Interactive,0.03563823626368731
Action,Taito,0.03474728035709512
Action,Game Factory,0.03296536854391076
Action,Imagic,0.03296536854391076
Action,UFO Interactive,0.03296536854391076
Action,10TACLE Studios,0.032074412637318576
Action,Idea Factory International,0.032074412637318576
Action,Scholastic Inc.,0.032074412637318576
Action,FuRyu Corporation,0.031183456730726398
Action,CokeM Interactive,0.03118345673072639
Action,Insomniac Games,0.03118345673072639
Action,ITT Family Games,0.030292500824134212
Action,CBS Electronics,0.027619633104357666
Action,D3Publisher,0.027619633104357666
Action,Maximum Games,0.02672867719776548
Action,PQube,0.02672867719776548
Action,DreamCatcher Interactive,0.025837721291173295
Action,Kadokawa Games,0.025837721291173295
Action,ASC Games,0.024946765384581116
Action,Hamster Corporation,0.024946765384581116
Action,Acquire,0.024055809477988934
Action,GameMill,0.024055809477988934
Action,GameMill Entertainment,0.024055809477988934
Action,GameTrust,0.024055809477988934
Action,Hip Interactive,0.024055809477988934
Action,Idea Factory,0.024055809477988934
Action,Gotham Games,0.023164853571396752
Action,Knowledge Adventure,0.022273897664804566
Action,Nordic Games,0.021382941758212388
Action,Merge Games,0.021382941758212384
Action,Bandai Namco Entertainment,0.020491985851620202
Action,Bomb,0.019601029945028017
Action,Brash Entertainment,0.019601029945028017
Action,NewKidCo,0.019601029945028017
Action,Thomas Happ Games,0.019601029945028017
Action,Tomy Corporation,0.019601029945028017
Action,AQ Interactive,0.018710074038435838
Action,Marvelous Entertainment,0.018710074038435838
Action,Rising Star Games,0.018710074038435838
Action,TDK Core,0.01692816222525147
Action,Victory Lap Games,0.01692816222525147
Action,Sound Source Interactive,0.016037206318659288
Action,Avalon Interactive,0.015146250412067106
Action,Jaleco,0.015146250412067106
Action,O-Games,0.014255294505474922
Action,Outright Games,0.014255294505474922
Action,Vir2L Studios,0.014255294505474922
Action,Nihon Falcom Corp,0.012473382692290558
Action,Rocket Company,0.011582426785698376
Action,Alchemist,0.010691470879106192
Action,Ready at Dawn,0.010691470879106192
Action,Sammy Corporation,0.010691470879106192
Action,Takara,0.010691470879106192
Action,Aspyr,0.009800514972514008
Action,Broccoli,0.009800514972514008
Action,Gamecock,0.009800514972514008
Action,Global Star Software,0.009800514972514008
Action,Nippon Ichi Software,0.009800514972514008
Action,Games Workshop,0.008909559065921828
Action,Groove Games,0.008909559065921828
Action,U.S. Gold,0.008909559065921828
Action,Kadokawa Shoten,0.008018603159329646
Action,Kaga Create,0.008018603159329644
Action,Midas Interactive Entertainment,0.008018603159329644
Action,Mumbo Jumbo,0.008018603159329644
Action,Wired Productions,0.008018603159329644
Action,5pb,0.007127647252737461
Action,Kalypso Media,0.007127647252737461
Action,Storm City Games,0.007127647252737461
Action,Arc System Works,0.006236691346145279
Action,Big Fish Games,0.006236691346145279
Action,DSI Games,0.006236691346145279
Action,Enix,0.006236691346145279
Action,Evolution Games,0.006236691346145279
Action,Irem Software Engineering,0.006236691346145279
Action,Sunrise Interactive,0.006236691346145279
Action,Falcom Corporation,0.005345735439553096
Action,MTO,0.005345735439553096
Action,Marvel Entertainment,0.005345735439553096
Action,Marvelous,0.005345735439553096
Action,Nighthawk Interactive,0.005345735439553096
Action,Zoo Games,0.005345735439553096
Action,Perp Games,0.004454779532960914
Action,Phantom 8 Studio,0.004454779532960914
Action,Russel,0.004454779532960914
Action,Stainless Games,0.004454779532960914
Action,Vatical Entertainment,0.004454779532960914
Action,11 bit studios,0.0035638236263687306
Action,Avanquest Software,0.0035638236263687306
Action,ChunSoft,0.0035638236263687306
Action,Dramatic Create,0.0035638236263687306
Action,IE Institute,0.0035638236263687306
Action,Legacy Interactive,0.0035638236263687306
Action,Neocore Games,0.0035638236263687306
Action,Red Storm Entertainment,0.0035638236263687306
Action,Soedesco,0.0035638236263687306
Action,Villa Gorilla,0.0035638236263687306
Action,Aquaplus,0.002672867719776548
Action,Berkeley,0.002672867719776548
Action,Empire Interactive,0.002672867719776548
Action,Encore,0.002672867719776548
Action,Oxygen Interactive,0.002672867719776548
Action,Yacht Club Games,0.002672867719776548
Action,Alawar Entertainment,0.0017819118131843653
Action,Asgard,0.0017819118131843653
Action,Avanquest,0.0017819118131843653
Action,Blast! Entertainment Ltd,0.0017819118131843653
Action,Compile Heart,0.0017819118131843653
Action,Epic Games,0.0017819118131843653
Action,Essential Games,0.0017819118131843653
Action,Experience Inc.,0.0017819118131843653
Action,From Software,0.0017819118131843653
Action,Hoplite Research,0.0017819118131843653
Action,Neko Entertainment,0.0017819118131843653
Action,Piacci,0.0017819118131843653
Action,Red Flagship,0.0017819118131843653
Action,SystemSoft Alpha,0.0017819118131843653
Action,XS Games,0.0017819118131843653
Action,Focus Multimedia,0.0008909559065921826
Action,GungHo,0.0008909559065921826
Action,HuneX,0.0008909559065921826
Action,Interchannel,0.0008909559065921826
Action,Kalypso,0.0008909559065921826
Action,M2,0.0008909559065921826
Action,Prototype,0.0008909559065921826
Action,Quinrose,0.0008909559065921826
Action,Silky`s,0.0008909559065921826
Action,Success,0.0008909559065921826
Action,Team17 Software,0.0008909559065921826
Action,Yeti,0.0008909559065921826
Action,honeybee,0.0008909559065921826
Action,1C Maddox Games,0.0
Action,Alternative Software,0.0
Action,DMM Games,0.0
Action,Digital Works Entertainment,0.0
Action,Dovetail Games,0.0
Action,Eidos Interactive Ltd,0.0
Action,Futurlab 1,0.0
Action,Game Factory Interactive,0.0
Action,Happinet,0.0
Action,Headup Games,0.0
Action,King Games,0.0
Action,Metro 3D,0.0
Action,Noviy Disk,0.0
Action,Rondomedia,0.0
Action,SNK Playmore,0.0
Action,United Developers,0.0
Action,Views,0.0
Action,Virgin Play,0.0
Action,Zushi Games,0.0
Action-Adventure,Ubisoft,31.032857527605707
Action-Adventure,Warner Bros. Interactive Entertainment,17.45892809049286
Action-Adventure,Rockstar Games,13.270939940748722
Action-Adventure,Square Enix,7.769997306760032
Action-Adventure,Activision,5.332615136008618
Action-Adventure,Disney Interactive Studios,3.555076757339079
Action-Adventure,Microsoft Studios,2.942364664691624
Action-Adventure,2K Games,2.679773767842715
Action-Adventure,Konami Digital Entertainment,2.1545919741448962
Action-Adventure,Sony Interactive Entertainment,2.1209264745488823
Action-Adventure,Nintendo,1.7169404793967145
Action-Adventure,Hello Games,1.5216805817398327
Action-Adventure,THQ,1.2119579854565041
Action-Adventure,Namco Bandai Games,1.1648262860220846
Action-Adventure,Sony Computer Entertainment,1.00996498788042
Action-Adventure,Capcom,0.6598437920818745
Action-Adventure,Little Orbit,0.6598437920818745
Action-Adventure,Sega,0.6329113924050633
Action-Adventure,505 Games,0.5588472932938325
Action-Adventure,Microsoft Game Studios,0.47805009426339884
Action-Adventure,Warner Bros. Interactive,0.2760570966873148
Action-Adventure,Maximum Games,0.25585779692970645
Action-Adventure,D3Publisher,0.22892539725289526
Action-Adventure,Nordic Games,0.21545919741448963
Action-Adventure,Gearbox Software,0.201992997576084
Action-Adventure,NIS America,0.19525989765688123
Action-Adventure,Atlus,0.13466199838405601
Action-Adventure,THQ Nordic,0.12792889846485322
Action-Adventure,Microids,0.06733099919202801
Action-Adventure,Outright Games,0.0605978992728252
Action-Adventure,Acquire,0.05386479935362241
Action-Adventure,Studio Wildcard,0.05386479935362241
Action-Adventure,FuRyu Corporation,0.0403985995152168
Action-Adventure,Modus Games,0.033665499596014004
Action-Adventure,FDG Entertainment,0.026932399676811204
Action-Adventure,Bandai Namco Games,0.0201992997576084
Action-Adventure,Soedesco,0.0201992997576084
