genre,publisher,total_count,percentage_of_total_count
Action,Activision,337,4.697518817953722
Action,Sega,278,3.875104544187343
Action,Capcom,263,3.6660161695009754
Action,Ubisoft,246,3.429049344856426
Action,THQ,223,3.108447170337329
Action,Konami,193,2.6902704209645942
Action,Microsoft,188,2.6205742960691385
Action,Atari,182,2.5369389461945913
Action,Electronic Arts,159,2.2163367716754947
Action,Sony Computer Entertainment,157,2.1884583217173126
Action,Namco Bandai,119,1.6587677725118484
Action,Tecmo Koei,119,1.6587677725118484
Action,Bandai,105,1.463618622804572
Action,Namco Bandai Games,100,1.3939224979091163
Action,Nintendo,100,1.3939224979091163
Action,Eidos Interactive,99,1.379983272930025
Action,Warner Bros. Interactive Entertainment,99,1.379983272930025
Action,Disney Interactive Studios,91,1.2684694730972956
Action,KOEI,84,1.1708948982436578
Action,Hamster Corporation,79,1.1011987733482018
Action,LucasArts,75,1.0454418734318371
Action,D3 Publisher,74,1.0315026484527459
Action,Rockstar Games,74,1.0315026484527459
Action,Acclaim Entertainment,64,0.8921103986618344
Action,Namco,61,0.8502927237245609
Action,Square Enix,61,0.8502927237245609
Action,Warner Bros. Interactive,60,0.8363534987454697
Action,Midway Games,52,0.7248396989127405
Action,505 Games,43,0.59938667410092
Action,3DO,39,0.5436297741845554
Action,Atlus,38,0.5296905492054642
Action,Deep Silver,36,0.5018120992472819
Action,Majesco,36,0.5018120992472819
Action,Hudson Soft,33,0.45999442431000837
Action,Konami Digital Entertainment,33,0.45999442431000837
Action,Xseed Games,33,0.45999442431000837
Action,Bandai Namco Entertainment,30,0.41817674937273486
Action,Devolver Digital,29,0.4042375243936437
Action,Little Orbit,27,0.3763590744354614
Action,2K Games,26,0.36241984945637024
Action,Mindscape,26,0.36241984945637024
Action,Taito,26,0.36241984945637024
Action,VU Games,25,0.34848062447727907
Action,Koei Tecmo,24,0.3345413994981879
Action,Sony Interactive Entertainment,24,0.3345413994981879
Action,Culture Brain,23,0.3206021745190967
Action,Tecmo,23,0.3206021745190967
Action,Banpresto,22,0.30666294954000556
Action,D3Publisher,22,0.30666294954000556
Action,Jaleco,22,0.30666294954000556
Action,Parker Bros.,22,0.30666294954000556
Action,Arc System Works,21,0.29272372456091444
Action,Bandai Namco Games,21,0.29272372456091444
Action,Bethesda Softworks,21,0.29272372456091444
Action,Codemasters,20,0.2787844995818232
